tournament_name,start_date,end_date,center_name,center_location,pattern_name,pattern_length,pattern_volume,pattern_ratio,position,squad,name,hometown,score,average,+/-_200,match_play_record,points,earnings
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,29,,Kim Bolleby,Sweden,,222.61,,'--',490.00,2650.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,30,,François Lavoie,Canada,,220.89,,'--',470.00,2600.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,31,,Mitch Hupé,"Winnipeg, MB",,220.33,,'--',450.00,2550.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,32,,Jakob Butturff,"Tempe, Ariz.",,219.83,,'--',420.00,1250.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,33,,Sam Cooley,Australia,,219.83,,'--',420.00,1250.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,34,,Dom Barrett,"Great Bentley, England",,218.89,,'--',400.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,35,,Tomas Käyhkö,Finland,,218.78,,'--',390.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,36,,Timmy Tan,Malaysia,,217.94,,'--',380.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,37,,Justin Knowles,"Okemos, Mich.",,217.61,,'--',370.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,38,,DJ Archer,"Louisville, Ky.",,217.28,,'--',360.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,39,,Dick Allen,"Chapin, S.C.",,217.17,,'--',345.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,40,,Zeke Bayt,"Westerville, Ohio",,217.17,,'--',345.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,41,,Stu Williams,"Pflugerville, Texas",,216.94,,'--',330.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,42,,Matt Sanders,"Evansville, Ind.",,215.89,,'--',320.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,43,,Ronnie Fujita,Richmond,,215.83,,'--',310.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,44,,Eric Jones,"Edmond, Okla.",,215.56,,'--',295.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,45,,Pete Vergos,"Apopka, Fla.",,215.56,,'--',295.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,46,,Zac Tackett,"Huntington, Ind.",,215.28,,'--',280.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,47,,Darren Tang,Las Vegas,,215.00,,'--',270.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,48,,Cristian Azcona,Puerto Rico,,214.72,,'--',260.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,49,,Tom Hess,"Granger, Iowa",,213.56,,'--',250.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,50,,Packy Hanrahan,"Wichita, Kan.",,213.06,,'--',240.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,51,,Kyle Troup,"Taylorsville, N.C.",,211.44,,'--',230.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,52,,Thomas Larsen,Denmark,,211.28,,'--',220.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,53,,Wes Malott,"Fort Wayne, Ind.",,211.22,,'--',210.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,54,,"David ""Boog"" Krol","Nixa, Mo.",,211.00,,'--',200.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,55,,Chris Barnes,"Denton, Texas",,209.78,,'--',190.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,56,,Shawn Maldonado,Houston,,209.11,,'--',180.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,57,,Matt Russo,"Ballwin, Missouri",,208.56,,'--',170.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,58,,Keven Williams,"Roseville, CA",,206.89,,'--',160.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,59,,Michael Martell,"Brooklyn, N.Y.",,204.94,,'--',150.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,60,,Deo Benard,"Roanoke, Texas",,202.28,,'--',140.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,61,,Brad Miller,"Lees Summit, Mo.",,202.11,,'--',130.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,62,,Ryan Ciminelli,"Monroe, N.C.",,201.78,,'--',120.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,63,,David Northouse,"Bryon Center, Mich.",,196.39,,'--',110.00,0.00
PBA Illinois Classic,2024-02-04T12:00:00Z,2024-02-10T12:00:00Z,PBA Illinois Classic,824 E. Rand Rd. Mt. Prospect 60056 United States,Don Carter,,,,64,,Parker Bohn III,"Jackson, N.J.",,189.83,,'--',100.00,0.00
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,1,A,Deo Benard,"Roanoke, Texas",1726,246.57,326,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,2,A,Timmy Tan,Malaysia,1666,238.00,266,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,3,A,Eric Jones,"Edmond, Okla.",1657,236.71,257,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,4,A,Ronnie Fujita,Richmond,1643,234.71,243,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,5,A,"David ""Boog"" Krol","Nixa, Mo.",1639,234.14,239,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,6,A,David Northouse,"Bryon Center, Mich.",1635,233.57,235,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,7,A,Zeke Bayt,"Westerville, Ohio",1633,233.29,233,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,8,A,Brad Miller,"Lees Summit, Mo.",1630,232.86,230,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,9,A,Pete Vergos,"Apopka, Fla.",1630,232.86,230,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,10,A,Deeronn Booker,"Anaheim, Calif.",1628,232.57,228,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,11,A,Anthony Lavery-Spahr,"Pasadena, Texas",1622,231.71,222,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,12,A,Michael Davidson,"Versailles, Ohio",1618,231.14,218,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,13,A,Cody Shoemaker,"Hanover, Pa.",1616,230.86,216,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,14,A,Brandon Runk,"Milton, Pa.",1608,229.71,208,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,15,A,Andrew Hall,"Westborough, Mass.",1603,229.00,203,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,16,A,Cortez Schenck,"Phoenix, Ariz.",1602,228.86,202,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,16,A,Tyler Cortez Schenck,"Phoenix, Ariz.",1602,228.86,202,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,17,A,Will Vidulich,"Budd Lake, N.J.",1601,228.71,201,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,18,A,Benjamin Martinez,Guadalajara/ Mexico,1599,228.43,199,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,19,A,Alec Keplinger,"Angola, Ind.",1597,228.14,197,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,20,A,Joshua Imhoff,"Little Rock, AR",1587,226.71,187,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,21,A,Thomas McNeal,"Seattle, Wash.",1586,226.57,186,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,22,A,Frank Snodgrass,"Adrian, MI",1578,225.43,178,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,23,A,Callum Borck,"Perth, Austraillia",1578,225.43,178,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,24,A,Samuel DeWitt III,"Pittsburgh, Pa.",1576,225.14,176,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,25,A,Ben Sobel,"New York, N.Y.",1575,225.00,175,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,26,A,Brent Boho,"Colgate, Wis.",1567,223.86,167,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,27,A,Jean Perez,Puerto Rico,1561,223.00,161,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,28,A,Arturo Quintero,Mexico,1557,222.43,157,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,29,A,Bailey Mavrick,"Peru, Ind.",1556,222.29,156,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,30,A,Trevor Roberts,"Crystal River, Fla.",1555,222.14,155,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,31,A,Pontus Andersson,Sweden,1553,221.86,153,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,32,A,Shota Kawazoe,Japan,1550,221.43,150,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,33,A,Brian Robinson,"Morgantown, W. Va.",1547,221.00,147,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,34,A,Carlos Granados,Venezuela,1545,220.71,145,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,35,A,Anthony Neuer,"Lewisburg, Pa.",1537,219.57,137,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,36,A,Victor Cortez,"Omaha, Neb.",1536,219.43,136,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,37,A,Wesley Low Jr.,"Palmdale, Calif.",1525,217.86,125,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,38,A,Nate Stubler,"LaSalle, Ill.",1513,216.14,113,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,39,A,Bryan Bourget,"Woonsocket, R.I.",1512,216.00,112,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,40,A,Jaysion Anderson,"Las Vegas, NV",1509,215.57,109,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,41,A,Matt Zweig,"Tempe, Ariz.",1494,213.43,94,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,42,A,Tim Gruendler,"St. Louis, Mo.",1492,213.14,92,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,43,A,JR Raymond,"Clinton Twp., Mich.",1486,212.29,86,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,44,A,Will Clark,"Montgomery, Ill.",1480,211.43,80,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,45,A,Dallas Leong,"Las Vegas, Nev.",1477,211.00,77,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,46,A,Brent Dowell,"Raymore, Mo.",1475,210.71,75,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,47,A,Zach Weidman,"Indianapolis, Ind.",1473,210.43,73,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,48,A,William Svensson,Sweden,1469,209.86,69,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,49,A,Peter Fox,"West Hartford, Conn.",1467,209.57,67,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,50,A,Johnathan Norman,"Houston, Texas",1458,208.29,58,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,51,A,Ramsey Basurto,"Rancho Palos Verdes, Calif.",1458,208.29,58,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,52,A,Arnar Jonsson,Iceland,1457,208.14,57,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,53,A,Kyle Michalosky,"Henderson, NV",1444,206.29,44,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,54,A,Joseph Grondin,"San Pedro, Calif.",1438,205.43,38,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,55,A,Nathan Ruest-Lajoie,"Témiscouata-Sur-Le-Lac, Quebec",1435,205.00,35,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,56,A,Isaac Rose,"Colorado Springs, Colo.",1430,204.29,30,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,57,A,Tim Cagle II,"Hercules, Calif.",1428,204.00,28,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,58,A,Beau Peterson,"McPherson, Kan.",1428,204.00,28,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,59,A,Zach Newman,"Wabash, Ind.",1427,203.86,27,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,60,A,Andres Villarreyna,"Port Arthur, Texas",1422,203.14,22,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,61,A,Chad Vendeville,"Otsego, Mich.",1420,202.86,20,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,62,A,Mike Eaton Jr.,"Byron Center, Mich.",1414,202.00,14,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,63,A,Chris Sloan,Ireland,1412,201.71,12,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,64,A,Hunter Kempton,"Buzzards Bay, Mass.",1412,201.71,12,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,65,A,Matt Kuba,"Minster, Ohio",1405,200.71,5,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,66,A,Antonio Vernon,"Cleveland, Ohio",1392,198.86,-8,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,67,A,Jace Meyer,"Monticello, Iowa",1390,198.57,-10,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,68,A,Jonathon Dean,"Casco, Mich.",1386,198.00,-14,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,69,A,Justin Chulanon,Plainfield,1381,197.29,-19,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,70,A,Nate Purches,"Fond du Lac, Wis.",1380,197.14,-20,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,71,A,Phillip Watson,"Cahokia, Ill.",1380,197.14,-20,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,72,A,Ildemaro Ruiz,Venezuela,1315,187.86,-85,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,73,A,Zach Cole,"Deerfield, Ill.",1307,186.71,-93,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,74,A,Derek Engeln,"Plainfield, Ill.",1303,186.14,-97,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,75,A,Darrel Ratliff,Monroe,1296,185.14,-104,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,76,A,Isaac Erickson,"Lititz, PA",1282,183.14,-118,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,77,A,Stephen Hoehnen,"Sussex, Wis.",1263,180.43,-137,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,78,A,Jonathan Chase,"Lafayette, In",1254,179.14,-146,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,79,A,Scott Lebeau,"Peyton, Colo.",1245,177.86,-155,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,80,A,Brandon Wade,"Severn, MD",1239,177.00,-161,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,81,A,Eduardo Arias,IL,1237,176.71,-163,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,82,A,Christopher Dower,"Cary, Ill.",1224,174.86,-176,,,
PBA Illinois Classic PTQ,2024-02-05T12:00:00Z,,PBA Illinois Classic PTQ,824 E. Rand Rd. Mt. Prospect 60056 United States,,,,,83,A,Eric Floyhar,"Spring Grove, Ill.",1179,168.43,-221,,,
